Interest
['Math']
['Drawing']
"['Environmental Studies', 'Hindi']"
"['Geography', 'English']"
['Computer']
"['Geography', 'History']"
"['Marathi', 'History']"
"['Marathi', 'Hindi']"
"['Marathi', 'Sports']"
"['Marathi', 'Sports']"
"['Hindi', 'Science']"
"['Drawing', 'Math']"
"['Sports', 'History']"
"['Urdu', 'Math']"
"['Marathi', 'Hindi']"
"['Marathi', 'Hindi']"
"['Urdu', 'Science']"
"['Drawing', 'Environmental Studies']"
"['Geography', 'Math', 'Hindi']"
"['Math', 'Environmental Studies']"
"['Urdu', 'Hindi', 'English']"
"['Urdu', 'Computer', 'Hindi']"
"['Urdu', 'Computer']"
"['Drawing', 'Environmental Studies']"
"['Drawing', 'Computer']"
"['Urdu', 'Math']"
"['Environmental Studies', 'English']"
['Drawing']
"['Marathi', 'Math']"
"['Hindi', 'Science']"
"['Marathi', 'Computer']"
['Computer']
"['Geography', 'Math', 'English']"
"['English', 'Science']"
"['History', 'Math']"
['Sports']
"['Geography', 'English']"
"['Urdu', 'Sports', 'Drawing']"
"['Computer', 'Sports']"
['English']
"['Sports', 'Science']"
"['Sports', 'Math']"
"['Geography', 'Sports']"
"['Urdu', 'Hindi']"
"['Urdu', 'Drawing', 'Environmental Studies']"
"['Environmental Studies', 'Hindi']"
"['Drawing', 'Science']"
['Geography']
"['Math', 'English']"
"['Drawing', 'English']"
"['Marathi', 'Hindi']"
['Environmental Studies']
['Science']
"['Urdu', 'History']"
"['Drawing', 'Hindi']"
"['Urdu', 'English']"
"['Drawing', 'Geography', 'Math']"
"['History', 'English']"
"['History', 'Math']"
"['Geography', 'History']"
"['Urdu', 'Geography', 'Drawing']"
"['Computer', 'Science']"
"['Marathi', 'Environmental Studies']"
"['Math', 'Hindi']"
"['Sports', 'Environmental Studies']"
"['Environmental Studies', 'Hindi']"
"['Sports', 'Marathi']"
"['History', 'Science']"
"['Geography', 'Computer', 'Science']"
"['Sports', 'Computer']"
"['History', 'English']"
"['History', 'Science']"
"['Drawing', 'Science']"
"['Drawing', 'Environmental Studies', 'Math']"
"['Marathi', 'History']"
"['Drawing', 'Urdu']"
"['Drawing', 'History']"
['Drawing']
"['Urdu', 'Environmental Studies']"
['History']
"['Math', 'Science']"
"['Computer', 'History']"
"['Urdu', 'Environmental Studies']"
"['Math', 'Science']"
"['Geography', 'Science']"
"['Drawing', 'Sports']"
"['Urdu', 'Computer', 'Math']"
"['Drawing', 'Marathi', 'Sports']"
"['Drawing', 'History']"
['Drawing']
"['History', 'Math']"
"['Drawing', 'Hindi']"
"['Science', 'English']"
['Science']
"['Computer', 'Science']"
"['Drawing', 'Computer', 'Environmental Studies']"
"['Marathi', 'Geography', 'Computer']"
"['Geography', 'Math']"
"['Computer', 'Math']"
"['Drawing', 'Environmental Studies']"
"['Urdu', 'Geography']"
"['Geography', 'Computer']"
"['Computer', 'History']"
"['Geography', 'English']"
"['Math', 'History']"
"['Math', 'English']"
"['Marathi', 'Environmental Studies']"
"['Environmental Studies', 'Science']"
"['English', 'Science']"
"['Computer', 'Hindi']"
"['Drawing', 'Urdu']"
"['Sports', 'History']"
"['Sports', 'Environmental Studies']"
"['Urdu', 'Environmental Studies']"
"['Math', 'Hindi', 'English']"
"['Computer', 'English']"
"['Hindi', 'Science']"
"['Geography', 'English']"
"['Geography', 'Computer']"
"['Computer', 'Marathi', 'Science']"
"['Sports', 'Hindi', 'Science']"
"['Drawing', 'Environmental Studies']"
"['Sports', 'Hindi']"
"['Math', 'Environmental Studies', 'Hindi']"
"['History', 'Science']"
"['English', 'Science']"
"['Drawing', 'Computer']"
"['Urdu', 'Geography']"
"['Sports', 'Hindi']"
"['Marathi', 'History']"
